read_position	deletion_count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	1
8	405
9	415
10	411
11	571
12	645
13	734
14	830
15	925
16	977
17	1017
18	1013
19	1050
20	1141
21	1102
22	1142
23	1185
24	1141
25	1112
26	1227
27	1113
28	1084
29	1142
30	1133
31	1058
32	1073
33	1116
34	1098
35	1198
36	1088
37	1121
38	1031
39	1097
40	1059
41	1136
42	1173
43	1131
44	1107
45	1070
46	1019
47	906
48	931
49	1038
50	1053
51	932
52	880
53	874
54	810
55	626
56	512
57	452
58	2
59	1
60	0
61	0
62	0
63	0
64	0
