read_position	deletion_count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	3
8	396
9	484
10	420
11	577
12	683
13	756
14	879
15	988
16	1075
17	1027
18	1126
19	1218
20	1151
21	1185
22	1255
23	1329
24	1193
25	1220
26	1274
27	1235
28	1203
29	1306
30	1201
31	1165
32	1103
33	1110
34	1172
35	1365
36	1258
37	1232
38	1116
39	1192
40	1150
41	1354
42	1227
43	1236
44	1278
45	1163
46	1043
47	1013
48	1038
49	1117
50	1107
51	1028
52	1033
53	947
54	867
55	646
56	570
57	453
58	1
59	0
60	0
61	0
62	0
63	0
64	0
