read_position	deletion_count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	299
9	324
10	325
11	402
12	495
13	541
14	675
15	754
16	785
17	759
18	827
19	843
20	855
21	881
22	967
23	901
24	867
25	811
26	863
27	814
28	763
29	933
30	855
31	810
32	804
33	833
34	783
35	851
36	841
37	929
38	809
39	872
40	928
41	889
42	851
43	861
44	841
45	824
46	750
47	689
48	799
49	735
50	785
51	743
52	712
53	648
54	667
55	486
56	401
57	350
58	1
59	1
60	0
61	0
62	0
63	0
64	0
