read_position	deletion_count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	3
8	450
9	507
10	434
11	675
12	743
13	864
14	1024
15	1043
16	1168
17	1215
18	1282
19	1375
20	1321
21	1307
22	1440
23	1350
24	1377
25	1358
26	1344
27	1328
28	1276
29	1302
30	1280
31	1263
32	1289
33	1344
34	1344
35	1367
36	1312
37	1303
38	1230
39	1414
40	1280
41	1287
42	1369
43	1312
44	1331
45	1178
46	1181
47	1173
48	1138
49	1172
50	1188
51	1162
52	1150
53	963
54	953
55	709
56	651
57	558
58	1
59	0
60	0
61	0
62	0
63	0
64	0
