"","logFC","logCPM","PValue","FDR"
"ENSMUSG00000043155",7.90046134059605,3.84644925623001,2.12626738370785e-130,1.93677098647064e-128
"ENSMUSG00000026110",3.47007678178286,4.72759091906439,4.22602925571544e-130,3.82356378498656e-128
"ENSMUSG00000020911",3.60878489913344,6.8119350546714,4.77704795271364e-130,4.29329223003551e-128
"ENSMUSG00000025481",4.59056649714661,4.04963943195087,4.98477453722426e-130,4.45031427392849e-128
"ENSMUSG00000038807",2.9494655576622,6.20154309417099,9.20106531412367e-130,8.1604974670856e-128
"ENSMUSG00000050359",6.45110072016802,3.72249959917475,9.29769148616708e-130,8.192299276145e-128
"ENSMUSG00000031803",5.57507636901735,4.04000789889053,3.53069501123674e-129,3.09073373029107e-127
"ENSMUSG00000102752",4.07455959278736,4.28184865746739,6.82330229722269e-129,5.934512146378e-127
"ENSMUSG00000019866",2.92769275750166,6.77241792227887,9.74145389424639e-129,8.41823974027792e-127
"ENSMUSG00000050010",9.46552046703195,3.43052596018384,5.59382756167134e-128,4.80320951330518e-126
"ENSMUSG00000021182",4.00057903368593,4.32474459056753,1.4268163085767e-127,1.21739940860269e-125
"ENSMUSG00000046180",12.228852596071,4.28867912082968,2.57270817948566e-127,2.1813005640029e-125
"ENSMUSG00000022868",8.61015023521818,3.37679561047967,8.21189683980088e-127,6.91903633108473e-125
"ENSMUSG00000006310",5.6093415020853,4.28985669308244,4.60824065776526e-126,3.85861442902692e-124
"ENSMUSG00000002799",4.54988071686063,4.88851901531931,7.00876161044053e-126,5.83241452286104e-124
"ENSMUSG00000022900",9.20676826932091,3.1782415029646,8.7843840401902e-126,7.26517062857694e-124
"ENSMUSG00000005968",2.81258548589484,5.89075148969808,6.10001946564497e-125,5.01429039124145e-123
"ENSMUSG00000002384",4.42180578794097,4.04822193770518,1.38228533232762e-124,1.12936900394597e-122
"ENSMUSG00000025813",3.07347449268769,5.04009275695253,3.43004362065066e-124,2.78556735240913e-122
"ENSMUSG00000060962",6.61473896229283,3.0301936418495,1.44004414135648e-123,1.16246916584591e-121
"ENSMUSG00000042589",5.14655166125611,3.36680955442002,3.57419871103763e-123,2.86808171568442e-121
"ENSMUSG00000019996",4.77796471790802,4.34024931204069,6.71494919809925e-123,5.3564633218684e-121
"ENSMUSG00000034382",4.14820905637564,3.99084719180447,1.94136866355089e-122,1.53950535019586e-120
"ENSMUSG00000021678",4.209303431469,4.50691665957553,3.77033770573151e-122,2.97239313514424e-120
"ENSMUSG00000023906",11.8537062840419,3.9286287397375,2.18308944845049e-121,1.71105981712565e-119
"ENSMUSG00000024922",9.14872471359051,3.12595597176526,3.8186788235712e-121,2.97569995494586e-119
"ENSMUSG00000032068",6.44275166874178,3.20383712253533,4.47706005652566e-120,3.46869233459899e-118
"ENSMUSG00000050966",11.6653073785395,3.73689127016472,2.39792558168087e-118,1.84722484380799e-116
"ENSMUSG00000039457",3.8581327513219,4.44092785382348,5.52360308254582e-118,4.23089165657955e-116
"ENSMUSG00000030510",6.76929495138436,3.17818325131542,8.61242375360219e-118,6.55955280352041e-116
"ENSMUSG00000040136",11.7430336229165,3.81474296638554,9.25043162822309e-118,7.00590274045368e-116
"ENSMUSG00000000120",5.26594544131661,3.99649857187534,2.75686091614883e-117,2.07627050338561e-115
"ENSMUSG00000030513",2.45624323713716,6.34732746216621,2.83000331694181e-117,2.11951526198292e-115
"ENSMUSG00000051076",4.70878229362423,3.83425503315454,6.116383756341e-117,4.55552317233332e-115
"ENSMUSG00000022286",9.17361275422694,3.1460166387591,6.08087309972362e-115,4.50418957458099e-113
"ENSMUSG00000022055",5.55048245508474,4.81553674828267,3.28976018130036e-114,2.42345666689126e-112
"ENSMUSG00000049971",7.30289278360258,3.70464897528209,7.56874433502182e-114,5.54533925980593e-112
"ENSMUSG00000038732",2.95933180330779,5.64357722484535,1.15827464468944e-113,8.44037864057209e-112
"ENSMUSG00000024965",5.40334054367787,4.54117011147251,1.17192142851593e-113,8.49391009560393e-112
"ENSMUSG00000025582",3.08517816232931,4.81002924574056,1.41628843776133e-113,1.02101521013158e-111
"ENSMUSG00000085925",3.23979547179793,4.48283299881198,1.03935959553193e-112,7.45298229115212e-111
"ENSMUSG00000032013",5.63278494687931,3.21492601464533,1.90247252878503e-112,1.35699641061117e-110
"ENSMUSG00000049044",5.4514414438985,3.91453295808065,1.19280245446954e-111,8.46324730984417e-110
"ENSMUSG00000056724",3.18632971350184,5.37911949998756,3.1911206569204e-111,2.25232971601801e-109
"ENSMUSG00000021456",5.01453871890079,3.29306733061002,5.24187529728635e-111,3.68050629597486e-109
"ENSMUSG00000028766",4.66695316367359,3.60534460968177,6.71145791324629e-111,4.68793596520587e-109
"ENSMUSG00000017861",3.30578196659507,4.90998651274662,1.26923498491436e-110,8.81987465547965e-109
"ENSMUSG00000054753",6.6843937885606,3.58562101542766,4.66401295334795e-110,3.22438762174788e-108
"ENSMUSG00000042216",3.33269844741499,4.59723836488109,1.93312979638522e-109,1.32961850944231e-107
"ENSMUSG00000029449",3.79183680512362,4.5396160204045,4.12400050858727e-109,2.8221142566632e-107
"ENSMUSG00000018411",5.16463603891575,3.90101709894347,6.35690848717637e-108,4.32815572301134e-106
"ENSMUSG00000020159",11.2616786918963,3.32577218685465,4.44582875205619e-107,3.01176971891806e-105
"ENSMUSG00000000889",5.09911186584525,3.95289506613098,5.65069093882079e-105,3.80884822731215e-103
"ENSMUSG00000028179",3.02078637007607,5.12684871801375,5.95911357158473e-105,3.99675671933004e-103
"ENSMUSG00000030353",2.64712286994257,5.41241973945066,6.85638757603052e-105,4.57579014418155e-103
"ENSMUSG00000031688",10.9211273640551,2.99632386282349,9.50762873542217e-105,6.31390852129193e-103
"ENSMUSG00000041362",3.35844921602967,4.93574638399186,1.16883455775049e-104,7.7240483691345e-103
"ENSMUSG00000044646",3.24821127084364,5.39205250560066,2.18591033522305e-103,1.43747596239717e-101
"ENSMUSG00000025196",5.81479072716659,2.87009793568226,2.38665434719259e-103,1.5618683133254e-101
"ENSMUSG00000020905",11.1230776048416,3.20310128033287,7.38995817139654e-103,4.81275488447327e-101
"ENSMUSG00000036553",3.4513655292404,3.83294560868624,9.83845576244001e-103,6.37654914103143e-101
"ENSMUSG00000026288",5.65810278880652,3.32379833085772,1.02673971408038e-102,6.622716787329e-101
"ENSMUSG00000028488",5.54552549353074,3.03523909169914,2.83809072498143e-102,1.8219190982607e-100
"ENSMUSG00000008601",6.20285639909202,3.37184436356057,3.35597728088735e-102,2.14416728548068e-100
"ENSMUSG00000054662",9.93776750326381,3.90319142025246,8.6677451866485e-102,5.51178645571738e-100
"ENSMUSG00000029361",7.47434491950509,3.41619747695177,8.90339121356233e-101,5.63505243896872e-99
"ENSMUSG00000028977",5.84059944840009,2.89885758497674,6.34861991726107e-100,3.99933388339236e-98
"ENSMUSG00000052180",4.67688189948882,4.26517627831402,8.04531436540639e-100,5.04459920744389e-98
"ENSMUSG00000063727",-2.44035823104939,6.78841125914893,3.08260303868241e-99,1.92391535020729e-97
"ENSMUSG00000003271",5.10067167956171,3.53337048829851,1.8128066137946e-98,1.12619566638548e-96
"ENSMUSG00000053559",7.38563804263638,3.58523438272683,6.33304412141889e-98,3.91631962389211e-96
"ENSMUSG00000057963",3.1672595381122,5.51341248417613,1.02285228303819e-97,6.29637973864739e-96
"ENSMUSG00000074652",7.54468950981666,4.90413219410522,2.37781157065203e-97,1.45705808108909e-95
"ENSMUSG00000056078",6.74276782200725,2.70762357220905,4.20993316722871e-97,2.56805923200952e-95
"ENSMUSG00000026656",7.63890835496172,2.91599272277549,1.31466020413933e-96,7.98330369910012e-95
"ENSMUSG00000063011",1.9289645401734,9.12662772238314,1.48688299374471e-96,8.98864109357511e-95
"ENSMUSG00000025082",10.512354647974,2.60464927064157,2.20276728682399e-96,1.32569222293189e-94
"ENSMUSG00000025330",8.65645735791255,3.42413176245687,2.62147928005811e-96,1.57067387442059e-94
"ENSMUSG00000041439",2.82950141112674,5.86494212323331,3.56609923964938e-96,2.12719397565103e-94
"ENSMUSG00000026765",5.96876491474277,2.88941854584685,4.51971663226552e-96,2.68415418147892e-94
"ENSMUSG00000012123",7.22348766170217,2.51867972357441,5.06223244382848e-96,2.99315594628297e-94
"ENSMUSG00000079259",5.54190609687791,3.43868603388998,1.51395339422893e-95,8.91249157537126e-94
"ENSMUSG00000034917",9.55307809480622,3.53008132682133,1.85257683355896e-95,1.0858516649221e-93
"ENSMUSG00000028927",6.51463737710772,2.72939109497411,3.64830019881638e-95,2.12912272641747e-93
"ENSMUSG00000054423",4.18796817380737,3.76209454871087,4.87450648809909e-95,2.83246646405448e-93
"ENSMUSG00000021255",6.92207624717844,2.88627397225064,1.54324317658589e-94,8.9289533319976e-93
"ENSMUSG00000071847",2.14641637411627,6.0215078434003,1.82553923808535e-94,1.05171343883028e-92
"ENSMUSG00000050917",8.64442485444248,2.63160723496437,3.39450694528076e-94,1.94729140975872e-92
"ENSMUSG00000002228",3.83059149318541,4.01542975290188,6.31573373093625e-94,3.6077290858793e-92
"ENSMUSG00000032561",4.77999957880079,3.70845650626394,6.58982280570159e-94,3.74841355458494e-92
"ENSMUSG00000050106",4.70555080139213,3.61216374474478,8.34050729407046e-94,4.7061893373073e-92
"ENSMUSG00000028841",3.49235942404265,3.63999757813698,8.34344078047953e-94,4.7061893373073e-92
"ENSMUSG00000079042",8.9995871552608,2.97555030610962,1.10495463042834e-93,6.20662223866851e-92
"ENSMUSG00000037681",3.8480076727273,3.30252787242375,3.86503251986268e-93,2.16201258922277e-91
"ENSMUSG00000051375",2.82682583305524,4.44188026244289,3.93199754745033e-93,2.19038260070983e-91
"ENSMUSG00000006056",10.2126354757536,2.30748261221934,5.99280928364566e-93,3.32465275526038e-91
"ENSMUSG00000003283",3.49609635524308,4.56771141729774,9.18374266238651e-93,5.07401782096855e-91
"ENSMUSG00000028434",2.50411689383658,6.01834837688911,9.54002666336759e-93,5.24935099791259e-91
"ENSMUSG00000035773",4.52026928373129,3.77981783658361,2.20842822218587e-92,1.21023662045885e-90
"ENSMUSG00000044641",3.01206537619512,4.23545427384249,2.54067723826695e-92,1.38667489267517e-90
"ENSMUSG00000020447",8.27783079823823,3.55520180056891,2.62260472542971e-92,1.42561831869024e-90
"ENSMUSG00000050071",5.7860741706343,3.07860389186827,3.17937881949915e-92,1.72133356890233e-90
"ENSMUSG00000037411",-2.12855270654969,8.92154677652572,3.62593660080066e-92,1.95525005261575e-90
"ENSMUSG00000032226",6.9766360990771,2.63980079332039,5.57087614480991e-92,2.99207096845348e-90
"ENSMUSG00000028661",8.77596085594278,2.76524047696326,2.81894230927331e-91,1.50802227267117e-89
"ENSMUSG00000044430",8.27299218598351,2.26946496939194,2.8861118373741e-91,1.53785271461029e-89
"ENSMUSG00000041119",3.91403343548045,3.46170198148682,1.19962873491735e-90,6.36700589583498e-89
"ENSMUSG00000024812",2.03380185199407,6.9323312415816,1.75369131184006e-90,9.27118140192776e-89
"ENSMUSG00000006342",3.4219008882357,4.38133699704257,3.45855688387205e-89,1.82128145904215e-87
"ENSMUSG00000032358",6.51342007307509,2.72324687098097,4.51586595727718e-89,2.36880890934061e-87
"ENSMUSG00000019848",5.22484946182001,3.13480126996833,9.47315527679141e-89,4.94990722040407e-87
"ENSMUSG00000043068",4.48273042161144,3.32613548967156,1.30030575486377e-88,6.76811655649365e-87
"ENSMUSG00000078670",2.77051956814154,4.32681467799524,4.99241334909275e-88,2.58856632150459e-86
"ENSMUSG00000033987",4.67523680558422,5.64938882896061,2.8985334478911e-87,1.49713139505823e-85
"ENSMUSG00000028128",-2.11498805399878,6.90237372638168,1.3670014514162e-86,7.03379639944345e-85
"ENSMUSG00000033491",2.66061380129544,5.44068361466874,2.86725487805996e-86,1.46971342247628e-84
"ENSMUSG00000049493",4.73805981752886,3.73089884900231,4.53414880624917e-86,2.3153356082214e-84
"ENSMUSG00000023902",8.35704341820323,2.35561125618836,4.87559020755607e-86,2.48029553162504e-84
"ENSMUSG00000041605",2.96170983058774,4.16887422449527,7.10916791997825e-86,3.6029583732792e-84
"ENSMUSG00000022346",2.50829394044388,8.31720490162475,8.76369267490905e-85,4.42484423035389e-83
"ENSMUSG00000033361",2.37519652826669,5.27977294686204,1.83023861093233e-84,9.20650996790253e-83
"ENSMUSG00000020892",3.90232506212778,3.14179650763081,2.68878590414598e-84,1.34749155292907e-82
"ENSMUSG00000048826",4.92612377726784,3.32355182353223,4.18942794842928e-84,2.09176585825093e-82
"ENSMUSG00000027761",8.22569638889052,2.22284280459025,6.96240279539066e-84,3.46347424666647e-82
"ENSMUSG00000041235",2.92822113473174,4.11367565149954,2.50355998912354e-83,1.24082691960935e-81
"ENSMUSG00000044628",6.69523032664024,3.46574985677704,4.09599721616947e-83,2.02264243484178e-81
"ENSMUSG00000068105",8.70263376210509,2.68773155730129,4.65595733347217e-83,2.29076499315833e-81
"ENSMUSG00000042367",3.14462374329744,5.1885186471758,5.29970267556257e-83,2.59801060979124e-81
"ENSMUSG00000030592",5.50329886051273,3.25642169861401,1.66914954119851e-82,8.15282788583228e-81
"ENSMUSG00000025726",8.76774755025475,2.7616433474839,2.87014813059436e-82,1.39683996204125e-80
"ENSMUSG00000022122",-3.09724814065015,3.64142330999107,5.61987912105278e-82,2.72523706586016e-80
"ENSMUSG00000021895",2.51003025248674,5.14365336922747,2.17977988870734e-81,1.05324776629619e-79
"ENSMUSG00000022865",3.39111626122703,6.08332311094147,2.81039845568736e-81,1.35310648504005e-79
